"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
220,"delayed",980,118,"12","Mon",14,1217,FALSE,76,1551,66,"AA","PHL","PA",39.87195,-75.24114
97,"delayed",252,42,"1","Thur",22,2140,FALSE,7,2253,24,"OO","GRB","WI",44.48507,-88.12959
117,"delayed",503,69,"7","Fri",10,1300,FALSE,28,1525,32,"DL","IND","IN",39.71733,-86.29438
263,"on time",1522,229,"11","Wed",4,920,FALSE,-5,1125,18,"DL","SNA","CA",33.67566,-117.86822
252,"delayed",1276,195,"12","Sat",26,700,FALSE,-2,933,39,"DL","PHX","AZ",33.43417,-112.00806
90,"delayed",297,64,"5","Sun",3,1735,FALSE,3,1841,24,"DL","MKE","WI",42.94722,-87.89658
94,"on time",284,51,"8","Tue",18,1121,FALSE,0,1238,17,"OO","GFK","ND",47.94926,-97.17611
203,"delayed",931,107,"3","Tue",3,1500,FALSE,58,1818,65,"DL","DCA","VA",38.85208,-77.03772
109,"delayed",386,68,"11","Thur",26,910,FALSE,-4,1038,21,"OO","BIS","ND",46.77411,-100.74672
153,"delayed",223,48,"2","Mon",2,1132,FALSE,90,1242,83,"EV","FAR","ND",46.91935,-96.81499
100,"on time",393,65,"4","Tue",7,1500,FALSE,15,1625,15,"WN","MCI","MO",39.29761,-94.71391
113,"on time",349,60,"6","Tue",2,1850,FALSE,29,2025,18,"WN","MDW","IL",41.78598,-87.75242
223,"delayed",1175,162,"3","Fri",6,1145,FALSE,39,1252,36,"DL","GEG","WA",47.61986,-117.53384
201,"delayed",852,121,"8","Fri",28,1520,FALSE,14,1747,54,"AA","DFW","TX",32.89595,-97.0372
